t,event,bytes_total,bytes_periph,bytes_fovea,cmd_received,gaze_uv,quality_mode,crop_x,crop_y,crop_w,crop_h,delta_ms
1779696356.8256,server_start,0,0,0,,,gaze-p15-f85-unity,,,,,
1779696372.9613,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.0166,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.0405,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.0707,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.1046,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.1424,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.1625,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.2013,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.2412,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.2601,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.3003,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.3400,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.3593,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.3994,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.4393,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.4660,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.4992,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.5396,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.5662,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.5997,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.6380,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.6662,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.6993,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.7397,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.7662,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.7999,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.8388,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.8678,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.8994,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.9396,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696373.9601,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.0033,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.0484,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.0640,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.0986,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.1397,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.1643,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.1993,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.2392,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.2640,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.2994,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.3393,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.3657,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.3989,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.4382,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.4643,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.4996,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.5379,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.5641,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.5998,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.6389,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.6654,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.6986,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.7387,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.7650,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.7994,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.8378,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.8638,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.8990,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.9389,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.9657,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696374.9996,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696375.0401,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696375.0578,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696375.0999,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696375.1394,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696375.1675,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696375.2003,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
1779696375.2407,frame_sent,20730,17235,3479,,"0.500,0.500",gaze,540,260,200,200,0.0
