periph_q,fovea_q,avg_bytes,delta_pct,abs_delta_pct
15,85,13302.553464499571,1.1275927929282015,1.1275927929282015
20,70,13383.05421686747,1.739569082045215,1.739569082045215
25,85,13597.367747440274,3.3688060182184065,3.3688060182184065
20,80,13656.839453458582,3.8209169971346246,3.8209169971346246
15,80,12636.730308219177,-3.9340739915817964,3.9340739915817964
25,70,13941.760273972603,5.98691894496087,5.98691894496087
10,90,12266.463979416809,-6.748882638958055,6.748882638958055
25,80,14653.237157534246,11.395650791400408,11.395650791400408
15,90,14856.781864841745,12.943021852954933,12.943021852954933
20,85,15099.973544973545,14.791793914997681,14.791793914997681
5,90,11051.791595197255,-15.982966499322467,15.982966499322467
15,70,10845.789203084832,-17.549021172924036,17.549021172924036
10,85,10839.337907375642,-17.598064689810233,17.598064689810233
20,90,15703.728828058169,19.381613349086138,19.381613349086138
10,80,10244.292452830188,-22.121670971953396,22.121670971953396
25,90,16166.310580204778,22.898214818823686,22.898214818823686
10,70,9683.834476843911,-26.382339130464803,26.382339130464803
5,80,9319.0624,-29.155379821317567,29.155379821317567
5,70,8663.156050955415,-34.14165785834949,34.14165785834949
