t,event,bytes_total,bytes_periph,bytes_fovea,cmd_received,gaze_uv,quality_mode,crop_x,crop_y,crop_w,crop_h,delta_ms
1779385952.3352,server_start,0,0,0,,,gaze-p10-f80,,,,,
1779385954.7292,gaze_received,0,0,0,,"0.499,0.499",gaze,,,,,
1779385954.7625,gaze_received,0,0,0,,"0.514,0.523",gaze,,,,,
1779385954.7962,gaze_received,0,0,0,,"0.527,0.546",gaze,,,,,
1779385954.8301,gaze_received,0,0,0,,"0.540,0.569",gaze,,,,,
1779385954.8637,gaze_received,0,0,0,,"0.554,0.591",gaze,,,,,
1779385954.8976,gaze_received,0,0,0,,"0.567,0.613",gaze,,,,,
1779385954.9313,gaze_received,0,0,0,,"0.580,0.635",gaze,,,,,
1779385954.9650,gaze_received,0,0,0,,"0.594,0.656",gaze,,,,,
1779385954.9989,gaze_received,0,0,0,,"0.607,0.677",gaze,,,,,
1779385954.9999,frame_sent,10558,7038,3504,,"0.607,0.677",gaze,288,55,200,200,-269.7
1779385955.0328,gaze_received,0,0,0,,"0.620,0.698",gaze,,,,,
1779385955.0348,frame_sent,9962,7004,2942,,"0.620,0.698",gaze,296,45,200,200,-32.8
1779385955.0664,gaze_received,0,0,0,,"0.632,0.717",gaze,,,,,
1779385955.0670,frame_sent,9733,7002,2715,,"0.632,0.717",gaze,304,35,200,200,-16.0
1779385955.1005,gaze_received,0,0,0,,"0.645,0.736",gaze,,,,,
1779385955.1057,frame_sent,9683,6998,2669,,"0.645,0.736",gaze,312,26,200,200,1.0
1779385955.1348,gaze_received,0,0,0,,"0.658,0.755",gaze,,,,,
1779385955.1562,frame_sent,9617,7011,2590,,"0.658,0.755",gaze,320,17,200,200,17.8
1779385955.1686,gaze_received,0,0,0,,"0.670,0.772",gaze,,,,,
1779385955.2026,gaze_received,0,0,0,,"0.682,0.788",gaze,,,,,
1779385955.2058,frame_sent,9603,7018,2569,,"0.682,0.788",gaze,336,1,200,200,0.6
1779385955.2368,gaze_received,0,0,0,,"0.694,0.804",gaze,,,,,
1779385955.2564,frame_sent,9531,7033,2482,,"0.694,0.804",gaze,343,0,200,194,17.5
1779385955.2709,gaze_received,0,0,0,,"0.706,0.818",gaze,,,,,
1779385955.3048,gaze_received,0,0,0,,"0.718,0.832",gaze,,,,,
1779385955.3070,frame_sent,9222,6991,2215,,"0.718,0.832",gaze,359,0,200,180,0.5
1779385955.3385,gaze_received,0,0,0,,"0.729,0.844",gaze,,,,,
1779385955.3591,frame_sent,9093,6988,2089,,"0.729,0.844",gaze,366,0,200,174,18.7
1779385955.3721,gaze_received,0,0,0,,"0.740,0.855",gaze,,,,,
1779385955.4059,gaze_received,0,0,0,,"0.750,0.865",gaze,,,,,
1779385955.4109,frame_sent,9020,6984,2020,,"0.750,0.865",gaze,379,0,200,164,3.1
1779385955.4395,gaze_received,0,0,0,,"0.761,0.874",gaze,,,,,
1779385955.4636,frame_sent,8947,6951,1980,,"0.761,0.874",gaze,386,0,200,160,21.2
1779385955.4733,gaze_received,0,0,0,,"0.771,0.881",gaze,,,,,
1779385955.5070,gaze_received,0,0,0,,"0.781,0.887",gaze,,,,,
1779385955.5162,frame_sent,8936,6945,1975,,"0.781,0.887",gaze,399,0,200,154,5.5
1779385955.5410,gaze_received,0,0,0,,"0.790,0.892",gaze,,,,,
1779385955.5659,frame_sent,8871,6942,1913,,"0.790,0.892",gaze,405,0,200,151,22.6
1779385955.5748,gaze_received,0,0,0,,"0.799,0.896",gaze,,,,,
1779385955.6088,gaze_received,0,0,0,,"0.808,0.898",gaze,,,,,
1779385955.6164,frame_sent,9169,6955,2198,,"0.808,0.898",gaze,416,0,200,149,5.8
1779385955.6428,gaze_received,0,0,0,,"0.817,0.900",gaze,,,,,
1779385955.6675,frame_sent,8967,6943,2008,,"0.817,0.900",gaze,422,0,200,148,23.4
1779385955.6764,gaze_received,0,0,0,,"0.825,0.899",gaze,,,,,
1779385955.7103,gaze_received,0,0,0,,"0.832,0.898",gaze,,,,,
1779385955.7192,frame_sent,9212,6924,2272,,"0.832,0.898",gaze,432,0,200,149,7.1
1779385955.7442,gaze_received,0,0,0,,"0.840,0.895",gaze,,,,,
1779385955.7704,frame_sent,8975,6929,2030,,"0.840,0.895",gaze,437,0,200,150,24.4
1779385955.7781,gaze_received,0,0,0,,"0.847,0.891",gaze,,,,,
1779385955.8118,gaze_received,0,0,0,,"0.853,0.885",gaze,,,,,
1779385955.8236,frame_sent,9006,6923,2067,,"0.853,0.885",gaze,445,0,195,155,8.3
1779385955.8454,gaze_received,0,0,0,,"0.859,0.878",gaze,,,,,
1779385955.8727,frame_sent,9010,6923,2071,,"0.859,0.878",gaze,449,0,191,158,25.6
1779385955.8792,gaze_received,0,0,0,,"0.865,0.870",gaze,,,,,
1779385955.9130,gaze_received,0,0,0,,"0.870,0.861",gaze,,,,,
1779385955.9248,frame_sent,9293,6919,2358,,"0.870,0.861",gaze,456,0,184,166,9.3
1779385955.9468,gaze_received,0,0,0,,"0.875,0.851",gaze,,,,,
1779385955.9757,frame_sent,9086,6931,2139,,"0.875,0.851",gaze,459,0,181,171,26.9
1779385955.9808,gaze_received,0,0,0,,"0.879,0.839",gaze,,,,,
1779385956.0148,gaze_received,0,0,0,,"0.884,0.826",gaze,,,,,
1779385956.0257,frame_sent,9144,6921,2207,,"0.884,0.826",gaze,465,0,175,183,9.4
1779385956.0485,gaze_received,0,0,0,,"0.887,0.812",gaze,,,,,
1779385956.0794,frame_sent,9158,6926,2216,,"0.887,0.812",gaze,467,0,173,190,27.3
1779385956.0824,gaze_received,0,0,0,,"0.890,0.798",gaze,,,,,
1779385956.1160,gaze_received,0,0,0,,"0.893,0.782",gaze,,,,,
1779385956.1316,frame_sent,9196,6924,2256,,"0.893,0.782",gaze,471,4,169,200,12.1
1779385956.1501,gaze_received,0,0,0,,"0.895,0.765",gaze,,,,,
1779385956.1843,gaze_received,0,0,0,,"0.897,0.747",gaze,,,,,
1779385956.1864,frame_sent,9203,6922,2265,,"0.895,0.765",gaze,472,12,168,200,30.3
1779385956.2183,gaze_received,0,0,0,,"0.898,0.729",gaze,,,,,
1779385956.2327,frame_sent,9186,6929,2241,,"0.898,0.729",gaze,474,30,166,200,12.7
1779385956.2522,gaze_received,0,0,0,,"0.899,0.709",gaze,,,,,
1779385956.2832,frame_sent,9206,6923,2267,,"0.899,0.709",gaze,475,39,165,200,29.8
1779385956.2857,gaze_received,0,0,0,,"0.900,0.690",gaze,,,,,
1779385956.3193,gaze_received,0,0,0,,"0.900,0.669",gaze,,,,,
1779385956.3357,frame_sent,9376,6926,2434,,"0.900,0.669",gaze,475,59,165,200,13.8
1779385956.3531,gaze_received,0,0,0,,"0.899,0.648",gaze,,,,,
