timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
1231.556,0.2557,1.0500,0.1789,-0.9440,-0.0152,-0.3295,1.000,0.716,0.2686,1001.0440,0.1785,347.789,269.210,358.519,4.573,2.657,1,1
1231.567,0.2558,1.0502,0.1789,-0.9436,-0.0136,-0.3309,1.000,0.716,0.2686,1001.0440,0.1784,347.786,269.208,358.495,4.579,2.656,1,1
1231.584,0.2558,1.0502,0.1789,-0.9436,-0.0136,-0.3309,1.000,0.716,0.2687,1001.0440,0.1784,347.790,269.206,358.491,4.579,2.656,1,1
1231.591,0.2558,1.0504,0.1789,-0.9434,-0.0129,-0.3313,1.000,0.715,0.2687,1001.0440,0.1784,347.770,269.201,358.465,4.576,2.655,1,1
1231.600,0.2558,1.0505,0.1789,-0.9428,-0.0113,-0.3332,1.000,0.714,0.2687,1001.0440,0.1784,347.719,269.208,358.453,4.599,2.657,1,1
1231.619,0.2558,1.0505,0.1789,-0.9428,-0.0113,-0.3332,1.000,0.714,0.2687,1001.0440,0.1784,347.695,269.215,358.470,4.599,2.657,1,1
1231.625,0.2557,1.0505,0.1789,-0.9424,-0.0095,-0.3343,1.000,0.715,0.2686,1001.0440,0.1784,347.683,269.226,358.427,4.633,2.660,1,1
1231.642,0.2557,1.0505,0.1789,-0.9423,-0.0098,-0.3347,1.000,0.714,0.2686,1001.0440,0.1784,347.668,269.240,358.372,4.633,2.662,1,1
1231.648,0.2557,1.0506,0.1789,-0.9421,-0.0090,-0.3351,1.000,0.713,0.2686,1001.0450,0.1784,347.645,269.248,358.344,4.632,2.663,1,1
1231.656,0.2557,1.0507,0.1790,-0.9420,-0.0089,-0.3354,1.000,0.713,0.2685,1001.0450,0.1785,347.612,269.254,358.402,4.624,2.665,1,1
1231.671,0.2557,1.0506,0.1790,-0.9422,-0.0093,-0.3350,1.000,0.714,0.2685,1001.0450,0.1785,347.612,269.254,358.402,4.613,2.666,1,1
1231.688,0.2557,1.0506,0.1790,-0.9422,-0.0099,-0.3350,1.000,0.714,0.2686,1001.0450,0.1785,347.594,269.281,358.423,4.625,2.667,1,1
1231.695,0.2557,1.0505,0.1791,-0.9422,-0.0111,-0.3350,1.000,0.714,0.2686,1001.0440,0.1786,347.649,269.273,358.474,4.625,2.667,1,1
1231.700,0.2556,1.0505,0.1791,-0.9420,-0.0121,-0.3353,1.000,0.715,0.2685,1001.0440,0.1786,347.700,269.286,358.458,4.651,2.670,1,1
1231.718,0.2556,1.0505,0.1791,-0.9420,-0.0121,-0.3353,1.000,0.715,0.2685,1001.0440,0.1786,347.736,269.286,358.414,4.651,2.670,1,1
1231.723,0.2556,1.0505,0.1791,-0.9420,-0.0119,-0.3354,1.000,0.718,0.2685,1001.0440,0.1786,347.740,269.280,358.416,4.657,2.674,1,1
