timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
859.905,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2817,1001.0370,0.2433,8.727,259.417,0.017,4.740,5.075,1,1
859.924,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2816,1001.0370,0.2432,8.757,259.406,0.035,4.740,5.075,1,1
859.944,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2816,1001.0370,0.2432,8.769,259.395,0.052,4.740,5.075,1,1
859.949,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2814,1001.0370,0.2430,8.841,259.393,0.097,4.740,5.075,1,1
859.960,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2814,1001.0370,0.2430,8.879,259.398,0.086,4.740,5.075,1,1
859.980,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2813,1001.0370,0.2429,8.934,259.395,0.082,4.740,5.075,1,1
859.987,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2813,1001.0370,0.2430,8.956,259.410,0.075,4.740,5.075,1,1
859.993,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2812,1001.0360,0.2429,8.985,259.404,0.080,4.740,5.075,1,1
860.005,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2812,1001.0360,0.2429,9.033,259.411,0.070,4.740,5.075,1,1
860.023,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.000,1.000,0.2811,1001.0360,0.2429,9.055,259.423,0.046,4.740,5.075,1,1
860.045,0.2782,1.0322,0.2390,-0.7891,-0.5820,-0.1964,1.000,1.000,0.2811,1001.0360,0.2428,9.102,259.450,0.045,4.740,5.075,1,1
860.050,0.2781,1.0321,0.2389,-0.7889,-0.5824,-0.1961,1.000,1.000,0.2810,1001.0360,0.2428,9.131,259.479,0.028,4.740,5.075,1,1
860.060,0.2781,1.0320,0.2390,-0.7886,-0.5829,-0.1955,1.000,1.000,0.2810,1001.0360,0.2429,9.160,259.500,0.005,4.740,5.075,1,1
860.078,0.2781,1.0320,0.2390,-0.7886,-0.5829,-0.1955,1.000,1.000,0.2809,1001.0360,0.2429,9.153,259.509,0.005,4.740,5.075,1,1
