timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
163.800,0.0440,0.9714,0.2198,-0.9321,-0.3622,-0.0037,1.000,1.000,0.0514,1000.9730,0.2179,10.978,277.664,355.043,4.759,4.524,1,1
163.824,0.0442,0.9715,0.2199,-0.9316,-0.3636,-0.0007,1.000,1.000,0.0514,1000.9730,0.2179,10.965,277.657,355.062,4.746,4.520,1,1
163.841,0.0442,0.9715,0.2199,-0.9314,-0.3641,0.0006,1.000,1.000,0.0516,1000.9730,0.2180,10.957,277.690,355.024,4.746,4.520,1,1
163.847,0.0442,0.9715,0.2199,-0.9312,-0.3646,0.0022,1.000,1.000,0.0516,1000.9730,0.2180,10.945,277.717,355.038,4.745,4.519,1,1
163.855,0.0442,0.9715,0.2200,-0.9312,-0.3645,0.0035,1.000,1.000,0.0516,1000.9730,0.2180,10.919,277.727,355.034,4.744,4.520,1,1
163.866,0.0442,0.9715,0.2200,-0.9310,-0.3648,0.0064,1.000,1.000,0.0516,1000.9730,0.2180,10.906,277.743,355.034,4.757,4.503,1,1
163.885,0.0442,0.9715,0.2200,-0.9310,-0.3648,0.0064,1.000,1.000,0.0517,1000.9730,0.2181,10.938,277.757,355.027,4.757,4.503,1,1
163.890,0.0443,0.9714,0.2201,-0.9313,-0.3642,0.0073,1.000,1.000,0.0517,1000.9730,0.2181,10.914,277.777,354.999,4.756,4.500,1,1
163.899,0.0443,0.9715,0.2201,-0.9312,-0.3644,0.0087,1.000,1.000,0.0517,1000.9730,0.2182,10.914,277.797,355.019,4.758,4.497,1,1
163.910,0.0444,0.9714,0.2203,-0.9305,-0.3660,0.0115,1.000,1.000,0.0518,1000.9730,0.2182,10.943,277.832,355.027,4.755,4.507,1,1
163.930,0.0444,0.9713,0.2203,-0.9302,-0.3669,0.0134,1.000,1.000,0.0518,1000.9730,0.2183,10.975,277.855,355.037,4.757,4.497,1,1
