timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
817.001,0.2896,0.9793,0.2024,-0.8635,0.0401,0.5027,1.000,1.000,0.2970,1000.9780,0.2006,347.524,300.383,355.679,3.936,4.821,1,1
817.022,0.2896,0.9792,0.2024,-0.8634,0.0403,0.5029,1.000,1.000,0.2970,1000.9780,0.2006,347.498,300.387,355.672,3.944,4.820,1,1
817.041,0.2896,0.9792,0.2024,-0.8637,0.0395,0.5024,1.000,1.000,0.2970,1000.9780,0.2006,347.470,300.388,355.666,3.950,4.821,1,1
817.045,0.2896,0.9793,0.2024,-0.8639,0.0398,0.5021,1.000,1.000,0.2970,1000.9780,0.2006,347.452,300.366,355.688,3.950,4.821,1,1
817.056,0.2896,0.9793,0.2024,-0.8635,0.0401,0.5027,1.000,1.000,0.2970,1000.9780,0.2005,347.453,300.368,355.703,3.957,4.837,1,1
817.067,0.2896,0.9793,0.2023,-0.8637,0.0398,0.5025,1.000,1.000,0.2970,1000.9780,0.2005,347.444,300.365,355.702,3.966,4.836,1,1
817.085,0.2896,0.9793,0.2023,-0.8637,0.0398,0.5025,1.000,1.000,0.2970,1000.9780,0.2005,347.445,300.352,355.718,3.966,4.836,1,1
817.090,0.2896,0.9792,0.2024,-0.8642,0.0386,0.5017,1.000,1.000,0.2970,1000.9780,0.2005,347.463,300.349,355.723,3.968,4.842,1,1
817.102,0.2896,0.9792,0.2023,-0.8644,0.0381,0.5013,1.000,1.000,0.2970,1000.9780,0.2005,347.463,300.354,355.713,3.981,4.851,1,1
817.125,0.2896,0.9792,0.2023,-0.8641,0.0372,0.5019,1.000,1.000,0.2970,1000.9780,0.2005,347.479,300.357,355.715,3.997,4.923,1,1
817.145,0.2896,0.9792,0.2023,-0.8641,0.0372,0.5019,1.000,1.000,0.2970,1000.9780,0.2005,347.495,300.353,355.711,3.997,4.923,1,1
817.151,0.2896,0.9792,0.2023,-0.8641,0.0368,0.5019,1.000,1.000,0.2970,1000.9780,0.2004,347.508,300.356,355.693,3.994,4.935,1,1
817.158,0.2896,0.9790,0.2024,-0.8638,0.0368,0.5025,1.000,1.000,0.2970,1000.9780,0.2006,347.505,300.362,355.679,3.990,4.940,1,1
817.167,0.2895,0.9791,0.2024,-0.8643,0.0366,0.5017,1.000,1.000,0.2970,1000.9780,0.2006,347.500,300.352,355.689,4.007,4.927,1,1
817.185,0.2895,0.9791,0.2024,-0.8643,0.0366,0.5017,1.000,1.000,0.2969,1000.9780,0.2005,347.512,300.361,355.682,4.007,4.927,1,1
817.190,0.2895,0.9792,0.2024,-0.8641,0.0363,0.5020,1.000,1.000,0.2969,1000.9780,0.2005,347.503,300.372,355.673,4.031,4.925,1,1
817.200,0.2895,0.9792,0.2024,-0.8640,0.0366,0.5021,1.000,1.000,0.2969,1000.9780,0.2005,347.495,300.378,355.665,4.050,4.959,1,1
817.220,0.2895,0.9791,0.2025,-0.8638,0.0361,0.5025,1.000,1.000,0.2969,1000.9780,0.2005,347.486,300.389,355.677,4.070,5.003,1,1
