timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
1345.703,0.3272,1.0462,0.3411,-0.9981,0.0353,-0.0511,1.000,1.000,0.3297,1001.0480,0.3406,357.817,264.166,0.984,3.799,3.888,1,1
1345.722,0.3274,1.0462,0.3410,-0.9987,0.0357,-0.0350,1.000,1.000,0.3298,1001.0480,0.3404,357.825,264.157,0.990,3.775,3.859,1,1
1345.741,0.3274,1.0462,0.3410,-0.9991,0.0342,-0.0253,1.000,1.000,0.3300,1001.0480,0.3402,357.810,264.137,0.999,3.771,3.845,1,1
1345.747,0.3272,1.0462,0.3410,-0.9992,0.0298,-0.0280,1.000,1.000,0.3298,1001.0480,0.3403,357.815,264.121,1.021,3.770,3.835,1,1
1345.758,0.3274,1.0462,0.3409,-0.9994,0.0321,-0.0137,1.000,1.000,0.3300,1001.0480,0.3402,357.838,264.110,1.048,3.770,3.821,1,1
1345.769,0.3272,1.0462,0.3410,-0.9995,0.0241,-0.0212,1.000,1.000,0.3296,1001.0480,0.3405,357.846,264.114,1.072,3.732,3.809,1,1
1345.789,0.3272,1.0462,0.3410,-0.9996,0.0229,-0.0179,1.000,1.000,0.3299,1001.0480,0.3402,357.869,264.103,1.036,3.727,3.804,1,1
1345.794,0.3274,1.0462,0.3408,-0.9996,0.0222,-0.0193,1.000,1.000,0.3300,1001.0480,0.3401,357.840,264.096,1.033,3.719,3.801,1,1
1345.802,0.3272,1.0463,0.3410,-0.9994,0.0223,-0.0255,1.000,1.000,0.3297,1001.0480,0.3403,357.834,264.087,1.051,3.710,3.809,1,1
1345.820,0.3273,1.0463,0.3408,-0.9994,0.0227,-0.0265,1.000,1.000,0.3298,1001.0480,0.3402,357.834,264.081,1.054,3.700,3.793,1,1
1345.841,0.3273,1.0463,0.3408,-0.9994,0.0227,-0.0265,1.000,1.000,0.3300,1001.0480,0.3401,357.831,264.083,1.072,3.700,3.793,1,1
1345.846,0.3272,1.0463,0.3410,-0.9994,0.0217,-0.0252,1.000,1.000,0.3298,1001.0480,0.3402,357.863,264.094,1.082,3.695,3.788,1,1
1345.851,0.3272,1.0463,0.3409,-0.9994,0.0227,-0.0280,1.000,1.000,0.3299,1001.0480,0.3402,357.846,264.093,1.051,3.690,3.783,1,1
