timestamp,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,left_eye_open,right_eye_open,head_pos_x,head_pos_y,head_pos_z,head_rot_x,head_rot_y,head_rot_z,pupil_diameter_left,pupil_diameter_right,pupil_valid_left,pupil_valid_right
1718.645,0.2527,1.0612,0.1769,-0.9962,-0.0769,0.0408,1.000,0.912,0.2611,1001.0570,0.1748,347.718,269.494,358.481,5.937,3.921,1,1
1718.651,0.2527,1.0612,0.1769,-0.9961,-0.0783,0.0407,1.000,0.912,0.2611,1001.0570,0.1748,347.799,269.483,358.503,5.937,3.921,1,1
1718.657,0.2527,1.0612,0.1769,-0.9961,-0.0781,0.0406,1.000,0.912,0.2611,1001.0570,0.1748,347.786,269.475,358.515,5.937,3.921,1,1
1718.668,0.2527,1.0611,0.1769,-0.9963,-0.0780,0.0363,1.000,0.914,0.2611,1001.0570,0.1748,347.811,269.475,358.510,5.900,3.915,1,1
1718.684,0.2527,1.0611,0.1769,-0.9963,-0.0780,0.0363,1.000,0.914,0.2611,1001.0570,0.1749,347.799,269.500,358.518,5.900,3.915,1,1
1718.690,0.2528,1.0612,0.1770,-0.9963,-0.0780,0.0368,1.000,0.913,0.2612,1001.0570,0.1750,347.798,269.523,358.536,5.912,3.916,1,1
1718.701,0.2528,1.0611,0.1772,-0.9961,-0.0792,0.0394,1.000,0.914,0.2612,1001.0570,0.1751,347.785,269.588,358.521,5.904,3.913,1,1
1718.722,0.2528,1.0612,0.1773,-0.9958,-0.0816,0.0418,1.000,0.914,0.2612,1001.0570,0.1752,347.806,269.632,358.552,5.865,3.895,1,1
1718.740,0.2528,1.0612,0.1773,-0.9958,-0.0824,0.0411,1.000,0.912,0.2612,1001.0570,0.1752,347.805,269.700,358.561,5.861,3.884,1,1
1718.745,0.2528,1.0612,0.1775,-0.9956,-0.0829,0.0427,1.000,0.910,0.2612,1001.0570,0.1754,347.834,269.793,358.539,5.861,3.878,1,1
1718.751,0.2528,1.0613,0.1775,-0.9957,-0.0828,0.0424,1.000,0.910,0.2612,1001.0580,0.1754,347.804,269.819,358.558,5.861,3.878,1,1
